transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2187-27_tr_69,"Minister of Buddha Sasana, Religious and Cultural Affairs","State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Galle Heritage Foundation,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_71,"Minister of Buddha Sasana, Religious and Cultural Affairs","State Minister of National Heritage, Performing Arts and Rural Arts Promotion",National Performing Arts Theatre (Nelum Pokuna),department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_73,Minister of Finance,Minister of Urban Development and Housing,Hotel Developers (Lanka) PLC (PQ 143),department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_75,Minister of Urban Development and Housing,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Urban Development Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_77,Minister of Urban Development and Housing,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Sri Lanka Land Reclamation Development Corporation and their subsidiaries and related institutions,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_80,Minister of Urban Development and Housing,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Urban Settlement Development Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_82,Minister of Urban Development and Housing,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Condominium Management Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_83,Minister of Environment and Wildlife Resources,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Marine Environment Protection Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_84,Minister of Environment and Wildlife Resources,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness",Department of Coast Conservation and Coastal Resource Management,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_85,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",National Housing Development Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_86,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",Building Material Corporation Limited,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_87,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",Department of Buildings,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_88,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",Department of Government Factories,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_89,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",Construction Industry Development Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_90,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",State Engineering Corporation,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
